iter	Logloss
0	0.692123563
1	0.6907695984
2	0.6896749565
3	0.6888217806
4	0.687603139
5	0.6864616164
6	0.6853771916
7	0.6844518605
8	0.6836323405
9	0.6823236619
10	0.6812949677
11	0.6804074119
12	0.6793896631
13	0.6783127262
14	0.6775365941
15	0.6762637796
16	0.6753773491
17	0.6744918019
18	0.6735185397
19	0.6726402772
20	0.6717200448
21	0.670485125
22	0.6693472653
23	0.668316197
24	0.6671370512
25	0.6663440844
26	0.6654041114
27	0.6645974581
28	0.6632243187
29	0.6625933126
30	0.661517304
31	0.6603580605
32	0.6594867606
33	0.6582017388
34	0.6570846715
35	0.6565068209
36	0.655567805
37	0.6548253791
38	0.6538062203
39	0.6529005589
40	0.65184098
41	0.6510739257
42	0.6501756866
43	0.6495566555
44	0.6488199606
45	0.6479359023
46	0.6472237101
47	0.6466170763
48	0.6456217836
49	0.6445681011
50	0.6434773796
51	0.6425817055
52	0.6417794405
53	0.6407000703
54	0.6392791036
55	0.6383883347
56	0.6375572702
57	0.6363783097
58	0.635407741
59	0.6341974865
60	0.6334735748
61	0.6322000693
62	0.6314898482
63	0.6304198232
64	0.6292804532
65	0.6283250156
66	0.6273424583
67	0.6265131767
68	0.6256118626
69	0.6247755942
70	0.6239742588
71	0.6229499334
72	0.6219851266
73	0.6213399705
74	0.6208094748
75	0.6198924918
76	0.6189643782
77	0.6177055944
78	0.6166986835
79	0.6156281549
80	0.61482266
81	0.6140416283
82	0.6133499131
83	0.6128886553
84	0.6120695929
85	0.6116183709
86	0.6108559543
87	0.6096978417
88	0.6092307556
89	0.6081544994
90	0.6073680699
91	0.6066025125
92	0.6060748989
93	0.6050367537
94	0.6042154794
95	0.6034667837
96	0.6027737097
97	0.6017404579
98	0.6011044252
99	0.6004807084
100	0.5995526532
101	0.5987422408
102	0.5981938657
103	0.5972440999
104	0.5965356706
105	0.5957743942
106	0.5952002004
107	0.5944688456
108	0.5937291578
109	0.5929186621
110	0.592061565
111	0.5912979765
112	0.5904103185
113	0.5895597916
114	0.5888399605
115	0.5877937009
116	0.5870220052
117	0.5865850555
118	0.5861113131
119	0.585420555
120	0.5849855293
121	0.583986257
122	0.5833477162
123	0.5827601101
124	0.5819807625
125	0.5814648612
126	0.5803677601
127	0.5795361085
128	0.5786900863
129	0.5778384322
130	0.5770327447
131	0.5763438722
132	0.5755683057
133	0.5745981535
134	0.5740857536
135	0.5733271896
136	0.5721379927
137	0.5715623297
138	0.57067032
139	0.5701570879
140	0.5690655469
141	0.5681864591
142	0.5676281215
143	0.5669359635
144	0.5663649534
145	0.5653785329
146	0.5646302433
147	0.5640473781
148	0.5634036268
149	0.5629481644
150	0.5622902847
151	0.5615399727
152	0.560959286
153	0.5603225664
154	0.5595816956
155	0.5589584235
156	0.5581056784
157	0.5575631552
158	0.5570843625
159	0.556233391
160	0.555399578
161	0.5549723547
162	0.554267648
163	0.5538583805
164	0.553100015
165	0.5523861927
166	0.5518894187
167	0.5514827544
168	0.5508806693
169	0.5499014063
170	0.5492677621
171	0.5483851558
172	0.547893722
173	0.5473548255
174	0.5466534094
175	0.5462991195
176	0.5456589597
177	0.5448214199
178	0.5441117847
179	0.5435030625
180	0.5429402479
181	0.5425302834
182	0.5418954856
183	0.5408644808
184	0.5403189802
185	0.5397733837
186	0.5391925508
187	0.5387182836
188	0.538122081
189	0.5374863544
190	0.5369554822
191	0.5362191221
192	0.5356438263
193	0.5350956318
194	0.5345721565
195	0.5340500446
196	0.5331187654
197	0.5324680506
198	0.5316228596
199	0.531032327
200	0.5304447287
201	0.5296072427
202	0.5290255015
203	0.528240645
204	0.5275260778
205	0.5268598259
206	0.5262540707
207	0.5257258807
