iter	MultiClass
0	1.74656997
1	1.471834922
2	1.279366618
3	1.134772618
4	1.026873604
5	0.9404405746
6	0.8688758253
7	0.7997451277
8	0.733569774
9	0.6789055531
10	0.6356701663
11	0.5920986781
12	0.5580761029
13	0.5277684651
14	0.4989915753
15	0.4728737628
16	0.4481091191
17	0.4259508583
18	0.4051619596
19	0.3880579463
20	0.3698890372
21	0.354954452
22	0.3408198665
23	0.3301151548
24	0.3169187721
25	0.3075269569
26	0.2992605334
27	0.2889368378
28	0.280807951
29	0.2736313924
30	0.2658501694
31	0.2568140467
32	0.250338603
33	0.2437310084
34	0.2371953575
35	0.2307949775
36	0.2265022534
37	0.2236930972
38	0.2190865399
39	0.2147797129
40	0.2109590986
41	0.2075109683
42	0.2049621936
43	0.2009441415
44	0.1973552714
45	0.1949519499
46	0.1928931879
47	0.1909516962
48	0.1884511668
49	0.1856373423
50	0.1839420812
51	0.1818457587
52	0.1800494603
53	0.177633809
54	0.1759446949
55	0.1743599312
56	0.173193433
57	0.1710742893
58	0.1684515502
59	0.1665355309
60	0.1652417348
61	0.1636937643
62	0.1619180133
63	0.1605351082
64	0.1585280085
65	0.1569208714
66	0.1563413811
67	0.1551101579
68	0.1542117059
69	0.1531266993
70	0.1517383067
71	0.1505145121
72	0.1497502575
73	0.1486667452
74	0.1483166432
75	0.1468259969
76	0.1462591975
77	0.1455629348
78	0.1447521647
79	0.1437015915
80	0.1429729605
81	0.1423463371
82	0.1411214337
83	0.1401010388
84	0.1392971635
85	0.1382910884
86	0.1373419095
87	0.1369842793
88	0.1363861072
89	0.1359345715
90	0.1348987127
91	0.1343118344
92	0.1339105176
93	0.1329129897
94	0.1322440042
95	0.1312833216
96	0.1309960522
97	0.1307444107
98	0.1301236886
99	0.1298030135
100	0.1293637262
101	0.128750119
102	0.1276828867
103	0.1270774506
104	0.1264732581
105	0.1257285634
106	0.1253482261
107	0.1250022312
108	0.124159763
109	0.1235612397
110	0.1232625938
111	0.1227652798
112	0.1222102569
113	0.1214742196
114	0.1208687151
115	0.120477354
116	0.1200875532
117	0.1195129632
118	0.1191312888
119	0.1185978405
120	0.1183028755
121	0.1180433965
122	0.1174267483
123	0.1166794237
124	0.1164535812
125	0.1158404906
126	0.1152563905
127	0.1148540758
128	0.1145792286
129	0.1143489849
130	0.1138189995
131	0.1129417859
132	0.1127455583
133	0.1123363136
134	0.1118060109
135	0.1111913901
136	0.1108373873
137	0.110501021
138	0.1100715687
139	0.1093388205
140	0.1088927161
141	0.1086563449
142	0.1081096919
143	0.1078175557
144	0.1071522033
145	0.1067938858
146	0.1066908242
147	0.1062073022
148	0.1057545867
149	0.1052627113
150	0.1047735003
151	0.10465511
152	0.1044172554
153	0.1042066162
154	0.1039402425
155	0.1036741167
156	0.1030369153
157	0.1028659587
158	0.1024423261
159	0.102170138
160	0.1017327635
161	0.1013855976
162	0.1010281859
163	0.1008702366
164	0.1005652568
165	0.1000731806
166	0.09966410479
167	0.09947574125
168	0.09924334467
169	0.09878966644
170	0.09849559666
171	0.09808701039
172	0.09783822914
173	0.09749126415
174	0.09708664215
175	0.09665653094
176	0.09637338197
177	0.09605907282
178	0.09564762795
179	0.09528302992
180	0.09497123013
181	0.09485587283
182	0.09463658596
183	0.09431451532
184	0.09390783028
185	0.09374585826
186	0.09355271075
187	0.09321053807
188	0.09290221316
189	0.09252611664
190	0.09212109327
191	0.09198512344
192	0.0915929033
193	0.09152626582
194	0.09134467968
195	0.09113075945
196	0.0907868919
197	0.09025474628
198	0.08999118296
199	0.08954121622
200	0.0892118529
201	0.08888290311
202	0.08860800196
203	0.08829814479
204	0.08820883285
205	0.08784547951
206	0.08746977688
207	0.08714395849
208	0.08683443387
209	0.08655649133
210	0.08635102448
211	0.08625009769
212	0.08589946313
213	0.08570830649
214	0.08549841432
215	0.08526958062
216	0.08511924983
217	0.08494451709
218	0.08477445884
219	0.08445921878
