iter	Passed	Remaining
409	3575	5145
410	3583	5135
411	3591	5125
412	3598	5114
413	3605	5104
414	3613	5093
415	3620	5083
416	3628	5072
417	3635	5062
418	3643	5052
419	3652	5044
420	3660	5034
421	3669	5025
422	3677	5016
423	3685	5007
424	3694	4998
425	3702	4988
426	3711	4980
427	3720	4971
428	3727	4961
429	3735	4951
430	3742	4941
431	3750	4930
432	3757	4920
433	3765	4910
434	3773	4900
435	3780	4890
436	3788	4881
437	3796	4870
438	3803	4860
439	3810	4849
440	3818	4839
441	3825	4829
442	3833	4819
443	3840	4809
444	3848	4799
445	3855	4789
446	3864	4780
447	3871	4770
448	3878	4759
449	3886	4749
450	3893	4739
451	3900	4729
452	3907	4718
453	3915	4708
454	3923	4699
455	3931	4689
456	3938	4679
457	3946	4670
458	3953	4659
459	3961	4649
460	3968	4639
461	3975	4629
462	3982	4619
463	3990	4609
464	3997	4599
465	4006	4591
466	4016	4583
467	4023	4574
468	4031	4563
469	4038	4554
470	4045	4544
471	4053	4534
472	4060	4523
473	4068	4514
474	4076	4505
475	4083	4495
476	4091	4485
477	4098	4475
478	4105	4465
479	4113	4456
480	4121	4446
481	4130	4439
482	4138	4430
483	4146	4421
484	4155	4412
485	4163	4403
486	4172	4395
487	4180	4386
488	4189	4377
489	4197	4368
490	4206	4361
491	4215	4352
492	4222	4342
493	4230	4333
494	4238	4323
495	4245	4314
496	4253	4304
497	4261	4295
498	4268	4285
499	4275	4275
500	4283	4266
501	4291	4257
502	4298	4247
503	4306	4237
504	4313	4228
505	4320	4218
506	4327	4208
507	4335	4198
508	4342	4189
509	4350	4179
510	4358	4170
511	4366	4162
512	4374	4153
513	4383	4144
514	4391	4135
515	4400	4127
516	4408	4118
517	4416	4109
518	4424	4100
519	4432	4091
520	4440	4082
521	4448	4073
522	4455	4063
523	4463	4054
524	4471	4045
525	4479	4036
526	4487	4028
527	4495	4018
528	4503	4010
529	4511	4000
530	4519	3991
531	4526	3982
532	4535	3974
533	4543	3965
534	4551	3955
535	4558	3946
536	4566	3936
537	4573	3927
538	4581	3918
539	4589	3909
540	4597	3900
541	4605	3891
542	4613	3882
543	4620	3873
544	4628	3864
545	4635	3854
546	4643	3845
547	4651	3836
548	4660	3828
549	4667	3818
550	4674	3809
551	4681	3799
552	4689	3790
553	4696	3780
554	4703	3771
555	4711	3762
556	4719	3753
557	4726	3744
558	4734	3735
559	4742	3726
560	4751	3717
561	4759	3709
562	4768	3701
563	4776	3692
564	4784	3683
565	4793	3675
566	4803	3668
567	4815	3662
568	4825	3655
569	4834	3647
570	4844	3639
571	4853	3631
572	4861	3622
573	4869	3613
574	4877	3605
575	4885	3596
576	4892	3586
577	4899	3577
578	4907	3568
579	4914	3559
580	4923	3550
581	4930	3541
582	4938	3532
583	4946	3523
584	4953	3513
585	4961	3504
